city_name,country_code,random_latitude,random_longitude,latitude,longitude,Temperature,Humidity,Cloudiness,Wind_speed
ribeira grande,pt,47.039999999972736,-38.839999999927784,38.52,-28.7,16.34,100,24,2.87
lucapa,ao,-8.500000000016215,20.22000000010243,-8.42,20.74,19.89,84,0,1.12
rong kwang,th,18.339999999978446,100.44000000014347,18.34,100.32,36,50,20,2.6
jieshi,cn,21.97999999997772,115.54000000015117,22.82,115.83,26.74,80,0,3.72
marathon,us,24.519999999977216,-81.01999999994936,42.44,-76.03,3.97,30,1,1.5
voloshka,ru,61.07999999996994,39.520000000112304,61.33,40.09,-2.51,86,0,6.27
dwarka,in,19.759999999978163,65.82000000012576,28.58,77.04,33,15,0,2.6
palauig,ph,14.379999999979233,116.60000000015174,15.44,119.9,28.89,84,24,2.02
itabira,br,-19.600000000014006,-43.41999999993013,-19.62,-43.23,17.29,99,92,1.72
talara,pe,-4.760000000016959,-85.85999999995184,-4.58,-81.27,20.49,81,24,1.77
tasiilaq,gl,63.459999999969455,-38.199999999927456,65.61,-37.64,-2,58,56,5.1
zhigansk,ru,69.13999999996832,123.82000000015546,66.77,123.37,4.24,93,92,7.87
amboasary,mg,-24.180000000013095,45.84000000011554,-25.04,46.38,24,88,40,2.77
xinzhi,cn,36.839999999974765,110.6200000001487,36.5,111.7,17.54,67,36,1.32
linxia,cn,33.49999999997543,100.86000000014371,35.6,103.21,5.54,100,92,1.82
padang,id,-3.360000000017237,96.82000000014159,-0.92,100.36,27.64,100,80,1.27
vuktyl,ru,63.01999999996957,59.10000000012232,63.86,57.31,-2.61,72,92,3.77
fort nelson,ca,60.359999999970086,-124.89999999997181,58.81,-122.69,2,51,20,2.6
kayes,ml,14.49999999997921,-11.099999999913592,14.44,-11.44,25.39,31,0,4.37
west wendover,us,41.63999999997381,-114.05999999996627,40.74,-114.07,19,32,40,2.1
bodden town,ky,19.359999999978243,-80.77999999994924,19.28,-81.25,27,83,20,2.6
ucluelet,ca,46.37999999997288,-127.49999999997314,48.94,-125.55,3.74,91,0,0.82
san isidro,ph,5.8599999999809285,129.78000000015845,17.47,120.6,27.29,88,24,1.52
mgandu,tz,-6.640000000016585,33.70000000010933,-5.96,34.11,18.04,100,76,2.62
bang saphan,th,10.919999999979922,99.90000000014322,11.21,99.51,32,66,40,4.1
eidfjord,no,60.57999999997003,7.420000000095882,60.47,7.07,0.24,100,92,1.12
